"id","In","Sensor","Pin","Fecha","Hora","Comentario"
"2168,""InAn"",""29.7"",""19"",""2024-02-19"",""21:22:40"",""Alert activated Temperatura { Sensor Value: 29.700000762939453 idpinout: 20 idpino: 19 }"""
"2169,""InAn"",""29.7"",""19"",""2024-02-19"",""21:52:52"",""Alert activated Temperatura { Sensor Value: 29.700000762939453 idpinout: 20 idpino: 19 }"""
"2170,""InAn"",""29.5"",""19"",""2024-02-19"",""22:23:16"",""Alert activated Temperatura { Sensor Value: 29.5 idpinout: 20 idpino: 19 }"""
"2171,""InAn"",""29.4"",""19"",""2024-02-19"",""22:53:34"",""Alert activated Temperatura { Sensor Value: 29.399999618530273 idpinout: 20 idpino: 19 }"""
"2172,""InAn"",""29.5"",""19"",""2024-02-19"",""23:23:44"",""Alert activated Temperatura { Sensor Value: 29.5 idpinout: 20 idpino: 19 }"""
"2173,""InAn"",""29.4"",""19"",""2024-02-19"",""23:53:52"",""Alert activated Temperatura { Sensor Value: 29.399999618530273 idpinout: 20 idpino: 19 }"""
"2174,""InAn"",""29.3"",""19"",""2024-02-20"",""00:23:58"",""Alert activated Temperatura { Sensor Value: 29.299999237060547 idpinout: 20 idpino: 19 }"""
"2175,""InAn"",""29.2"",""19"",""2024-02-20"",""00:54:08"",""Alert activated Temperatura { Sensor Value: 29.200000762939453 idpinout: 20 idpino: 19 }"""
"2176,""InAn"",""29.1"",""19"",""2024-02-20"",""01:24:16"",""Alert activated Temperatura { Sensor Value: 29.100000381469727 idpinout: 20 idpino: 19 }"""
"2177,""InAn"",""28.9"",""19"",""2024-02-20"",""01:54:28"",""Alert activated Temperatura { Sensor Value: 28.899999618530273 idpinout: 20 idpino: 19 }"""
"2178,""InAn"",""29.0"",""19"",""2024-02-20"",""02:24:37"",""Alert activated Temperatura { Sensor Value: 29.0 idpinout: 20 idpino: 19 }"""
"2179,""InAn"",""28.9"",""19"",""2024-02-20"",""02:54:44"",""Alert activated Temperatura { Sensor Value: 28.899999618530273 idpinout: 20 idpino: 19 }"""
"2180,""InAn"",""28.8"",""19"",""2024-02-20"",""03:24:49"",""Alert activated Temperatura { Sensor Value: 28.799999237060547 idpinout: 20 idpino: 19 }"""
"2181,""InAn"",""28.8"",""19"",""2024-02-20"",""03:54:59"",""Alert activated Temperatura { Sensor Value: 28.799999237060547 idpinout: 20 idpino: 19 }"""
"2182,""InAn"",""28.8"",""19"",""2024-02-20"",""04:25:07"",""Alert activated Temperatura { Sensor Value: 28.799999237060547 idpinout: 20 idpino: 19 }"""
"2183,""InAn"",""28.7"",""19"",""2024-02-20"",""04:55:16"",""Alert activated Temperatura { Sensor Value: 28.700000762939453 idpinout: 20 idpino: 19 }"""
"2184,""InAn"",""28.6"",""19"",""2024-02-20"",""05:25:24"",""Alert activated Temperatura { Sensor Value: 28.600000381469727 idpinout: 20 idpino: 19 }"""
"2185,""InAn"",""28.6"",""19"",""2024-02-20"",""05:55:31"",""Alert activated Temperatura { Sensor Value: 28.600000381469727 idpinout: 20 idpino: 19 }"""
"2186,""InAn"",""28.2"",""19"",""2024-02-20"",""06:25:40"",""Alert activated Temperatura { Sensor Value: 28.200000762939453 idpinout: 20 idpino: 19 }"""
"2187,""InAn"",""28.5"",""19"",""2024-02-20"",""06:55:48"",""Alert activated Temperatura { Sensor Value: 28.5 idpinout: 20 idpino: 19 }"""
"2188,""InAn"",""28.6"",""19"",""2024-02-20"",""07:26:00"",""Alert activated Temperatura { Sensor Value: 28.600000381469727 idpinout: 20 idpino: 19 }"""
"2189,""InAn"",""28.9"",""19"",""2024-02-20"",""07:56:09"",""Alert activated Temperatura { Sensor Value: 28.899999618530273 idpinout: 20 idpino: 19 }"""
"2190,""InAn"",""29.2"",""19"",""2024-02-20"",""08:26:22"",""Alert activated Temperatura { Sensor Value: 29.200000762939453 idpinout: 20 idpino: 19 }"""
"2191,""InAn"",""29.3"",""19"",""2024-02-20"",""08:56:32"",""Alert activated Temperatura { Sensor Value: 29.299999237060547 idpinout: 20 idpino: 19 }"""
"2192,""InAn"",""29.5"",""19"",""2024-02-20"",""09:26:41"",""Alert activated Temperatura { Sensor Value: 29.5 idpinout: 20 idpino: 19 }"""
"2193,""InAn"",""30.0"",""19"",""2024-02-20"",""09:56:51"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2194,""InAn"",""30.0"",""19"",""2024-02-20"",""10:26:58"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2195,""InAn"",""30.0"",""19"",""2024-02-20"",""11:06:20"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2196,""InAn"",""30.0"",""19"",""2024-02-20"",""17:47:38"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2197,""InAn"",""30.0"",""19"",""2024-02-20"",""18:17:51"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2198,""InAn"",""29.9"",""19"",""2024-02-20"",""18:47:59"",""Alert activated Temperatura { Sensor Value: 29.899999618530273 idpinout: 20 idpino: 19 }"""
"2199,""InAn"",""30.0"",""19"",""2024-02-20"",""19:18:07"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2200,""InAn"",""29.7"",""19"",""2024-02-20"",""19:48:18"",""Alert activated Temperatura { Sensor Value: 29.700000762939453 idpinout: 20 idpino: 19 }"""
"2201,""InAn"",""30.0"",""19"",""2024-02-20"",""21:11:12"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2202,""InAn"",""30.0"",""19"",""2024-02-20"",""21:43:26"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2203,""InAn"",""30.0"",""19"",""2024-02-20"",""22:15:23"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2204,""InAn"",""29.8"",""19"",""2024-02-20"",""22:45:33"",""Alert activated Temperatura { Sensor Value: 29.799999237060547 idpinout: 20 idpino: 19 }"""
"2205,""InAn"",""29.9"",""19"",""2024-02-20"",""23:15:42"",""Alert activated Temperatura { Sensor Value: 29.899999618530273 idpinout: 20 idpino: 19 }"""
"2206,""InAn"",""29.8"",""19"",""2024-02-20"",""23:45:51"",""Alert activated Temperatura { Sensor Value: 29.799999237060547 idpinout: 20 idpino: 19 }"""
"2207,""InAn"",""29.8"",""19"",""2024-02-21"",""00:16:03"",""Alert activated Temperatura { Sensor Value: 29.799999237060547 idpinout: 20 idpino: 19 }"""
"2208,""InAn"",""29.7"",""19"",""2024-02-21"",""00:46:13"",""Alert activated Temperatura { Sensor Value: 29.700000762939453 idpinout: 20 idpino: 19 }"""
"2209,""InAn"",""29.6"",""19"",""2024-02-21"",""01:16:24"",""Alert activated Temperatura { Sensor Value: 29.600000381469727 idpinout: 20 idpino: 19 }"""
"2210,""InAn"",""29.4"",""19"",""2024-02-21"",""01:46:32"",""Alert activated Temperatura { Sensor Value: 29.399999618530273 idpinout: 20 idpino: 19 }"""
"2211,""InAn"",""29.3"",""19"",""2024-02-21"",""02:16:41"",""Alert activated Temperatura { Sensor Value: 29.299999237060547 idpinout: 20 idpino: 19 }"""
"2212,""InAn"",""29.3"",""19"",""2024-02-21"",""02:46:53"",""Alert activated Temperatura { Sensor Value: 29.299999237060547 idpinout: 20 idpino: 19 }"""
"2213,""InAn"",""29.2"",""19"",""2024-02-21"",""03:17:03"",""Alert activated Temperatura { Sensor Value: 29.200000762939453 idpinout: 20 idpino: 19 }"""
"2214,""InAn"",""29.2"",""19"",""2024-02-21"",""03:47:16"",""Alert activated Temperatura { Sensor Value: 29.200000762939453 idpinout: 20 idpino: 19 }"""
"2215,""InAn"",""29.1"",""19"",""2024-02-21"",""04:17:26"",""Alert activated Temperatura { Sensor Value: 29.100000381469727 idpinout: 20 idpino: 19 }"""
"2216,""InAn"",""29.0"",""19"",""2024-02-21"",""04:47:35"",""Alert activated Temperatura { Sensor Value: 29.0 idpinout: 20 idpino: 19 }"""
"2217,""InAn"",""29.0"",""19"",""2024-02-21"",""05:17:45"",""Alert activated Temperatura { Sensor Value: 29.0 idpinout: 20 idpino: 19 }"""
"2218,""InAn"",""28.7"",""19"",""2024-02-21"",""05:47:56"",""Alert activated Temperatura { Sensor Value: 28.700000762939453 idpinout: 20 idpino: 19 }"""
"2219,""InAn"",""28.9"",""19"",""2024-02-21"",""06:18:05"",""Alert activated Temperatura { Sensor Value: 28.899999618530273 idpinout: 20 idpino: 19 }"""
"2220,""InAn"",""29.1"",""19"",""2024-02-21"",""06:48:16"",""Alert activated Temperatura { Sensor Value: 29.100000381469727 idpinout: 20 idpino: 19 }"""
"2221,""InAn"",""28.7"",""19"",""2024-02-21"",""07:18:27"",""Alert activated Temperatura { Sensor Value: 28.700000762939453 idpinout: 20 idpino: 19 }"""
"2222,""InAn"",""29.2"",""19"",""2024-02-21"",""07:48:38"",""Alert activated Temperatura { Sensor Value: 29.200000762939453 idpinout: 20 idpino: 19 }"""
"2223,""InAn"",""29.4"",""19"",""2024-02-21"",""08:18:50"",""Alert activated Temperatura { Sensor Value: 29.399999618530273 idpinout: 20 idpino: 19 }"""
"2224,""InAn"",""29.7"",""19"",""2024-02-21"",""08:48:56"",""Alert activated Temperatura { Sensor Value: 29.700000762939453 idpinout: 20 idpino: 19 }"""
"2225,""InAn"",""29.8"",""19"",""2024-02-21"",""09:19:08"",""Alert activated Temperatura { Sensor Value: 29.799999237060547 idpinout: 20 idpino: 19 }"""
"2226,""InAn"",""30.0"",""19"",""2024-02-21"",""10:50:37"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2227,""InAn"",""30.0"",""19"",""2024-02-21"",""16:42:46"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2228,""InAn"",""30.0"",""19"",""2024-02-21"",""17:12:53"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2229,""InAn"",""29.8"",""19"",""2024-02-21"",""17:43:01"",""Alert activated Temperatura { Sensor Value: 29.799999237060547 idpinout: 20 idpino: 19 }"""
"2230,""InAn"",""29.8"",""19"",""2024-02-21"",""18:13:13"",""Alert activated Temperatura { Sensor Value: 29.799999237060547 idpinout: 20 idpino: 19 }"""
"2231,""InAn"",""29.7"",""19"",""2024-02-21"",""18:43:18"",""Alert activated Temperatura { Sensor Value: 29.700000762939453 idpinout: 20 idpino: 19 }"""
"2232,""InAn"",""30.0"",""19"",""2024-02-21"",""19:23:28"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2233,""InAn"",""30.0"",""19"",""2024-02-21"",""19:53:42"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2234,""InAn"",""30.0"",""19"",""2024-02-21"",""20:27:49"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2235,""InAn"",""30.0"",""19"",""2024-02-21"",""21:00:10"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2236,""InAn"",""30.0"",""19"",""2024-02-21"",""21:30:21"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2237,""InAn"",""29.9"",""19"",""2024-02-21"",""22:00:28"",""Alert activated Temperatura { Sensor Value: 29.899999618530273 idpinout: 20 idpino: 19 }"""
"2238,""InAn"",""29.8"",""19"",""2024-02-21"",""22:30:37"",""Alert activated Temperatura { Sensor Value: 29.799999237060547 idpinout: 20 idpino: 19 }"""
"2239,""InAn"",""29.7"",""19"",""2024-02-21"",""23:00:47"",""Alert activated Temperatura { Sensor Value: 29.700000762939453 idpinout: 20 idpino: 19 }"""
"2240,""InAn"",""29.7"",""19"",""2024-02-21"",""23:30:55"",""Alert activated Temperatura { Sensor Value: 29.700000762939453 idpinout: 20 idpino: 19 }"""
"2241,""InAn"",""29.5"",""19"",""2024-02-22"",""00:01:08"",""Alert activated Temperatura { Sensor Value: 29.5 idpinout: 20 idpino: 19 }"""
"2242,""InAn"",""29.4"",""19"",""2024-02-22"",""00:31:17"",""Alert activated Temperatura { Sensor Value: 29.399999618530273 idpinout: 20 idpino: 19 }"""
"2243,""InAn"",""29.4"",""19"",""2024-02-22"",""01:01:30"",""Alert activated Temperatura { Sensor Value: 29.399999618530273 idpinout: 20 idpino: 19 }"""
"2244,""InAn"",""29.2"",""19"",""2024-02-22"",""01:31:37"",""Alert activated Temperatura { Sensor Value: 29.200000762939453 idpinout: 20 idpino: 19 }"""
"2245,""InAn"",""29.2"",""19"",""2024-02-22"",""02:01:45"",""Alert activated Temperatura { Sensor Value: 29.200000762939453 idpinout: 20 idpino: 19 }"""
"2246,""InAn"",""29.1"",""19"",""2024-02-22"",""02:31:54"",""Alert activated Temperatura { Sensor Value: 29.100000381469727 idpinout: 20 idpino: 19 }"""
"2247,""InAn"",""29.2"",""19"",""2024-02-22"",""03:02:02"",""Alert activated Temperatura { Sensor Value: 29.200000762939453 idpinout: 20 idpino: 19 }"""
"2248,""InAn"",""29.0"",""19"",""2024-02-22"",""03:32:12"",""Alert activated Temperatura { Sensor Value: 29.0 idpinout: 20 idpino: 19 }"""
"2249,""InAn"",""29.0"",""19"",""2024-02-22"",""04:02:20"",""Alert activated Temperatura { Sensor Value: 29.0 idpinout: 20 idpino: 19 }"""
"2250,""InAn"",""29.0"",""19"",""2024-02-22"",""04:32:33"",""Alert activated Temperatura { Sensor Value: 29.0 idpinout: 20 idpino: 19 }"""
"2251,""InAn"",""28.9"",""19"",""2024-02-22"",""05:02:46"",""Alert activated Temperatura { Sensor Value: 28.899999618530273 idpinout: 20 idpino: 19 }"""
"2252,""InAn"",""29.0"",""19"",""2024-02-22"",""05:32:59"",""Alert activated Temperatura { Sensor Value: 29.0 idpinout: 20 idpino: 19 }"""
"2253,""InAn"",""28.9"",""19"",""2024-02-22"",""06:03:06"",""Alert activated Temperatura { Sensor Value: 28.899999618530273 idpinout: 20 idpino: 19 }"""
"2254,""InAn"",""28.7"",""19"",""2024-02-22"",""06:33:14"",""Alert activated Temperatura { Sensor Value: 28.700000762939453 idpinout: 20 idpino: 19 }"""
"2255,""InAn"",""29.1"",""19"",""2024-02-22"",""07:03:28"",""Alert activated Temperatura { Sensor Value: 29.100000381469727 idpinout: 20 idpino: 19 }"""
"2256,""InAn"",""29.1"",""19"",""2024-02-22"",""07:33:42"",""Alert activated Temperatura { Sensor Value: 29.100000381469727 idpinout: 20 idpino: 19 }"""
"2257,""InAn"",""29.0"",""19"",""2024-02-22"",""08:03:51"",""Alert activated Temperatura { Sensor Value: 29.0 idpinout: 20 idpino: 19 }"""
"2258,""InAn"",""29.1"",""19"",""2024-02-22"",""08:33:59"",""Alert activated Temperatura { Sensor Value: 29.100000381469727 idpinout: 20 idpino: 19 }"""
"2259,""InAn"",""29.1"",""19"",""2024-02-22"",""09:04:08"",""Alert activated Temperatura { Sensor Value: 29.100000381469727 idpinout: 20 idpino: 19 }"""
"2260,""InAn"",""29.4"",""19"",""2024-02-22"",""09:34:22"",""Alert activated Temperatura { Sensor Value: 29.399999618530273 idpinout: 20 idpino: 19 }"""
"2261,""InAn"",""29.3"",""19"",""2024-02-22"",""10:04:33"",""Alert activated Temperatura { Sensor Value: 29.299999237060547 idpinout: 20 idpino: 19 }"""
"2262,""InAn"",""29.3"",""19"",""2024-02-22"",""10:34:40"",""Alert activated Temperatura { Sensor Value: 29.299999237060547 idpinout: 20 idpino: 19 }"""
"2263,""InAn"",""29.6"",""19"",""2024-02-22"",""11:04:47"",""Alert activated Temperatura { Sensor Value: 29.600000381469727 idpinout: 20 idpino: 19 }"""
"2264,""InAn"",""30.0"",""19"",""2024-02-22"",""11:34:58"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2265,""InAn"",""30.0"",""19"",""2024-02-22"",""12:05:06"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2266,""InAn"",""30.0"",""19"",""2024-02-22"",""19:13:48"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2267,""InAn"",""29.4"",""19"",""2024-02-22"",""19:43:57"",""Alert activated Temperatura { Sensor Value: 29.399999618530273 idpinout: 20 idpino: 19 }"""
"2268,""InAn"",""30.0"",""19"",""2024-02-22"",""20:14:04"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2269,""InAn"",""30.0"",""19"",""2024-02-22"",""20:44:19"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2270,""InAn"",""29.9"",""19"",""2024-02-22"",""21:14:31"",""Alert activated Temperatura { Sensor Value: 29.899999618530273 idpinout: 20 idpino: 19 }"""
"2271,""InAn"",""29.7"",""19"",""2024-02-22"",""21:44:37"",""Alert activated Temperatura { Sensor Value: 29.700000762939453 idpinout: 20 idpino: 19 }"""
"2272,""InAn"",""29.6"",""19"",""2024-02-22"",""22:14:50"",""Alert activated Temperatura { Sensor Value: 29.600000381469727 idpinout: 20 idpino: 19 }"""
"2273,""InAn"",""29.5"",""19"",""2024-02-22"",""22:45:00"",""Alert activated Temperatura { Sensor Value: 29.5 idpinout: 20 idpino: 19 }"""
"2274,""InAn"",""29.3"",""19"",""2024-02-22"",""23:15:09"",""Alert activated Temperatura { Sensor Value: 29.299999237060547 idpinout: 20 idpino: 19 }"""
"2275,""InAn"",""29.2"",""19"",""2024-02-22"",""23:45:21"",""Alert activated Temperatura { Sensor Value: 29.200000762939453 idpinout: 20 idpino: 19 }"""
"2276,""InAn"",""29.2"",""19"",""2024-02-23"",""00:15:29"",""Alert activated Temperatura { Sensor Value: 29.200000762939453 idpinout: 20 idpino: 19 }"""
"2277,""InAn"",""29.2"",""19"",""2024-02-23"",""00:45:41"",""Alert activated Temperatura { Sensor Value: 29.200000762939453 idpinout: 20 idpino: 19 }"""
"2278,""InAn"",""29.0"",""19"",""2024-02-23"",""01:15:54"",""Alert activated Temperatura { Sensor Value: 29.0 idpinout: 20 idpino: 19 }"""
"2279,""InAn"",""29.0"",""19"",""2024-02-23"",""01:46:02"",""Alert activated Temperatura { Sensor Value: 29.0 idpinout: 20 idpino: 19 }"""
"2280,""InAn"",""28.9"",""19"",""2024-02-23"",""02:16:09"",""Alert activated Temperatura { Sensor Value: 28.899999618530273 idpinout: 20 idpino: 19 }"""
"2281,""InAn"",""29.0"",""19"",""2024-02-23"",""02:46:20"",""Alert activated Temperatura { Sensor Value: 29.0 idpinout: 20 idpino: 19 }"""
"2282,""InAn"",""28.8"",""19"",""2024-02-23"",""03:16:31"",""Alert activated Temperatura { Sensor Value: 28.799999237060547 idpinout: 20 idpino: 19 }"""
"2283,""InAn"",""28.8"",""19"",""2024-02-23"",""03:46:43"",""Alert activated Temperatura { Sensor Value: 28.799999237060547 idpinout: 20 idpino: 19 }"""
"2284,""InAn"",""28.7"",""19"",""2024-02-23"",""04:16:53"",""Alert activated Temperatura { Sensor Value: 28.700000762939453 idpinout: 20 idpino: 19 }"""
"2285,""InAn"",""28.6"",""19"",""2024-02-23"",""04:47:01"",""Alert activated Temperatura { Sensor Value: 28.600000381469727 idpinout: 20 idpino: 19 }"""
"2286,""InAn"",""77.0"",""19"",""2024-02-23"",""05:08:03"",""Alert activated  Humedad { Sensor Value: 77.0 idpinout: 21 idpino: 19 }"""
"2287,""InAn"",""28.5"",""19"",""2024-02-23"",""05:17:09"",""Alert activated Temperatura { Sensor Value: 28.5 idpinout: 20 idpino: 19 }"""
"2288,""InAn"",""77.0"",""19"",""2024-02-23"",""05:38:08"",""Alert activated  Humedad { Sensor Value: 77.0 idpinout: 21 idpino: 19 }"""
"2289,""InAn"",""28.5"",""19"",""2024-02-23"",""05:47:18"",""Alert activated Temperatura { Sensor Value: 28.5 idpinout: 20 idpino: 19 }"""
"2290,""InAn"",""77.3"",""19"",""2024-02-23"",""06:08:16"",""Alert activated  Humedad { Sensor Value: 77.30000305175781 idpinout: 21 idpino: 19 }"""
"2291,""InAn"",""28.3"",""19"",""2024-02-23"",""06:17:31"",""Alert activated Temperatura { Sensor Value: 28.299999237060547 idpinout: 20 idpino: 19 }"""
"2292,""InAn"",""77.8"",""19"",""2024-02-23"",""06:38:29"",""Alert activated  Humedad { Sensor Value: 77.80000305175781 idpinout: 21 idpino: 19 }"""
"2293,""InAn"",""28.4"",""19"",""2024-02-23"",""06:47:41"",""Alert activated Temperatura { Sensor Value: 28.399999618530273 idpinout: 20 idpino: 19 }"""
"2294,""InAn"",""77.1"",""19"",""2024-02-23"",""07:08:38"",""Alert activated  Humedad { Sensor Value: 77.0999984741211 idpinout: 21 idpino: 19 }"""
"2295,""InAn"",""28.7"",""19"",""2024-02-23"",""07:17:53"",""Alert activated Temperatura { Sensor Value: 28.700000762939453 idpinout: 20 idpino: 19 }"""
"2296,""InAn"",""79.0"",""19"",""2024-02-23"",""07:38:44"",""Alert activated  Humedad { Sensor Value: 79.0 idpinout: 21 idpino: 19 }"""
"2297,""InAn"",""28.1"",""19"",""2024-02-23"",""07:48:06"",""Alert activated Temperatura { Sensor Value: 28.100000381469727 idpinout: 20 idpino: 19 }"""
"2298,""InAn"",""79.1"",""19"",""2024-02-23"",""08:08:51"",""Alert activated  Humedad { Sensor Value: 79.0999984741211 idpinout: 21 idpino: 19 }"""
"2299,""InAn"",""27.9"",""19"",""2024-02-23"",""08:18:25"",""Alert activated Temperatura { Sensor Value: 27.899999618530273 idpinout: 20 idpino: 19 }"""
"2300,""InAn"",""79.2"",""19"",""2024-02-23"",""08:38:59"",""Alert activated  Humedad { Sensor Value: 79.19999694824219 idpinout: 21 idpino: 19 }"""
"2301,""InAn"",""27.9"",""19"",""2024-02-23"",""08:48:32"",""Alert activated Temperatura { Sensor Value: 27.899999618530273 idpinout: 20 idpino: 19 }"""
"2302,""InAn"",""77.2"",""19"",""2024-02-23"",""09:09:09"",""Alert activated  Humedad { Sensor Value: 77.19999694824219 idpinout: 21 idpino: 19 }"""
"2303,""InAn"",""28.5"",""19"",""2024-02-23"",""09:18:39"",""Alert activated Temperatura { Sensor Value: 28.5 idpinout: 20 idpino: 19 }"""
"2304,""InAn"",""29.4"",""19"",""2024-02-23"",""09:48:50"",""Alert activated Temperatura { Sensor Value: 29.399999618530273 idpinout: 20 idpino: 19 }"""
"2305,""InAn"",""29.6"",""19"",""2024-02-23"",""10:19:01"",""Alert activated Temperatura { Sensor Value: 29.600000381469727 idpinout: 20 idpino: 19 }"""
"2306,""InAn"",""30.0"",""19"",""2024-02-23"",""10:49:14"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2307,""InAn"",""30.0"",""19"",""2024-02-23"",""18:53:11"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2308,""InAn"",""30.0"",""19"",""2024-02-23"",""19:23:23"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2309,""InAn"",""30.0"",""19"",""2024-02-23"",""20:44:01"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2310,""InAn"",""30.0"",""19"",""2024-02-23"",""21:14:23"",""Alert activated Temperatura { Sensor Value: 30.0 idpinout: 20 idpino: 19 }"""
"2311,""InAn"",""29.9"",""19"",""2024-02-23"",""21:44:31"",""Alert activated Temperatura { Sensor Value: 29.899999618530273 idpinout: 20 idpino: 19 }"""
"2312,""InAn"",""29.9"",""19"",""2024-02-23"",""22:14:44"",""Alert activated Temperatura { Sensor Value: 29.899999618530273 idpinout: 20 idpino: 19 }"""
"2313,""InAn"",""29.8"",""19"",""2024-02-23"",""22:45:03"",""Alert activated Temperatura { Sensor Value: 29.799999237060547 idpinout: 20 idpino: 19 }"""
"2314,""InAn"",""29.8"",""19"",""2024-02-23"",""23:15:16"",""Alert activated Temperatura { Sensor Value: 29.799999237060547 idpinout: 20 idpino: 19 }"""
"2315,""InAn"",""29.7"",""19"",""2024-02-23"",""23:45:24"",""Alert activated Temperatura { Sensor Value: 29.700000762939453 idpinout: 20 idpino: 19 }"""
"2316,""InAn"",""29.6"",""19"",""2024-02-24"",""00:15:36"",""Alert activated Temperatura { Sensor Value: 29.600000381469727 idpinout: 20 idpino: 19 }"""
"2317,""InAn"",""29.6"",""19"",""2024-02-24"",""00:45:44"",""Alert activated Temperatura { Sensor Value: 29.600000381469727 idpinout: 20 idpino: 19 }"""
"2318,""InAn"",""29.5"",""19"",""2024-02-24"",""01:15:58"",""Alert activated Temperatura { Sensor Value: 29.5 idpinout: 20 idpino: 19 }"""
"2319,""InAn"",""29.5"",""19"",""2024-02-24"",""01:46:10"",""Alert activated Temperatura { Sensor Value: 29.5 idpinout: 20 idpino: 19 }"""
"2320,""InAn"",""29.5"",""19"",""2024-02-24"",""02:16:19"",""Alert activated Temperatura { Sensor Value: 29.5 idpinout: 20 idpino: 19 }"""
"2321,""InAn"",""29.5"",""19"",""2024-02-24"",""02:46:30"",""Alert activated Temperatura { Sensor Value: 29.5 idpinout: 20 idpino: 19 }"""
"2322,""InAn"",""29.4"",""19"",""2024-02-24"",""03:16:37"",""Alert activated Temperatura { Sensor Value: 29.399999618530273 idpinout: 20 idpino: 19 }"""
"2323,""InAn"",""29.3"",""19"",""2024-02-24"",""03:46:45"",""Alert activated Temperatura { Sensor Value: 29.299999237060547 idpinout: 20 idpino: 19 }"""
"2324,""InAn"",""29.2"",""19"",""2024-02-24"",""04:16:54"",""Alert activated Temperatura { Sensor Value: 29.200000762939453 idpinout: 20 idpino: 19 }"""
"2325,""InAn"",""77.0"",""19"",""2024-02-24"",""04:18:09"",""Alert activated  Humedad { Sensor Value: 77.0 idpinout: 21 idpino: 19 }"""
